rok;strana_id;strana;poradove_cislo;jmeno;tituly;vek;navrhovana_str;prislusnost;hlasy;hlasy_procenta;poradi;mandat
2002;9;Koalice US-DEU, SNK;29;Adamec Pavel;MUDr.;35;US-DEU;US-DEU;2474;2.08;26.0;False
2002;1;Česká str.sociálně demokrat.;45;Aloy Zdeněk;Ing.;70;ČSSD;ČSSD;7283;1.8;35.0;False
2002;4;Pravá volba pro Plzeň;3;Anderle Jan;Ing.;46;PVP;PVP;5358;2.92;3.0;True
2002;1;Česká str.sociálně demokrat.;43;Andrlík Roman;;35;ČSSD;ČSSD;7665;1.89;33.0;False
2002;5;Strana zelených;16;Anton Jiří;;27;SZ;BEZPP;1343;1.86;;False
2002;9;Koalice US-DEU, SNK;13;Arnošt Patrik;;30;US-DEU;US-DEU;2476;2.08;10.0;False
2002;3;Občanská demokratická strana;17;Aschenbrenner Lumír;Ing.;42;ODS;ODS;17550;2.36;3.0;True
2002;7;Komunistická str.Čech a Moravy;47;Aust Jan;;71;KSČM;KSČM;5068;1.94;39.0;False
2002;1;Česká str.sociálně demokrat.;34;Babnič Jan;;48;ČSSD;ČSSD;8220;2.03;24.0;False
2002;7;Komunistická str.Čech a Moravy;40;Ballýová Hana;;61;KSČM;KSČM;5405;2.07;32.0;False
2002;7;Komunistická str.Čech a Moravy;42;Bardoňová Jana;;71;KSČM;KSČM;5376;2.06;34.0;False
2002;3;Občanská demokratická strana;3;Bartman Vladislav;Ing.;49;ODS;ODS;16776;2.25;5.0;True
2002;9;Koalice US-DEU, SNK;27;Bartošová Libuše;RNDr.;43;US-DEU;US-DEU;2385;2.0;24.0;False
2002;8;Křesť.demokr.unie-Čs.str.lid.;17;Basl Jiří;Ing.;33;KDU-ČSL;KDU-ČSL;3133;2.15;16.0;False
2002;3;Občanská demokratická strana;4;Baxa Martin;Mgr.;27;ODS;ODS;17133;2.3;6.0;True
2002;9;Koalice US-DEU, SNK;28;Bayer Rudolf;;29;US-DEU;US-DEU;2264;1.9;25.0;False
2002;6;Občanská demokratická aliance;4;Bednář Milan;Ing.;70;ODA;ODA;624;2.39;;False
2002;8;Křesť.demokr.unie-Čs.str.lid.;34;Bednář Radomír;Mgr.;42;KDU-ČSL;BEZPP;2696;1.85;31.0;False
2002;7;Komunistická str.Čech a Moravy;43;Běláč Josef;;61;KSČM;KSČM;5379;2.06;35.0;False
2002;2;Strana za životní jistoty;3;Beneš Karel;;72;SŽJ;SŽJ;368;4.17;;False
2002;6;Občanská demokratická aliance;29;Beran Pavel;;48;ODA;BEZPP;449;1.72;;False
2002;6;Občanská demokratická aliance;8;Berglová Marie;;63;ODA;ODA;482;1.85;;False
2002;8;Křesť.demokr.unie-Čs.str.lid.;42;Bernhardt Tomáš;Mgr.;34;KDU-ČSL;BEZPP;2577;1.76;39.0;False
2002;9;Koalice US-DEU, SNK;37;Bican Jan;Ing.;36;US-DEU;US-DEU;2157;1.81;34.0;False
2002;7;Komunistická str.Čech a Moravy;17;Bidlo Jaroslav;;52;KSČM;KSČM;5717;2.19;9.0;False
2002;1;Česká str.sociálně demokrat.;1;Bis Jiří;Ing.;61;ČSSD;ČSSD;10816;2.67;1.0;True
2002;4;Pravá volba pro Plzeň;7;Bláhovec Jiří;MUDr.;50;PVP;BEZPP;5011;2.73;1.0;False
2002;5;Strana zelených;10;Blažková Pavla;;18;SZ;BEZPP;1568;2.18;;False
2002;8;Křesť.demokr.unie-Čs.str.lid.;4;Boček Pavel;MUDr.;41;KDU-ČSL;KDU-ČSL;4776;3.27;1.0;False
2002;6;Občanská demokratická aliance;7;Bočko Karel;Ing.;53;ODA;ODA;717;2.75;;False
2002;4;Pravá volba pro Plzeň;40;Bochnovič Peter;;34;PVP;BEZPP;2954;1.61;36.0;False
2002;9;Koalice US-DEU, SNK;3;Bornová Kateřina;MUDr.;33;US-DEU;US-DEU;3868;3.25;1.0;False
2002;1;Česká str.sociálně demokrat.;33;Boubín Josef;;59;ČSSD;ČSSD;8124;2.01;23.0;False
2002;2;Strana za životní jistoty;10;Boučková Květuše;;74;SŽJ;SŽJ;255;2.89;;False
2002;1;Česká str.sociálně demokrat.;3;Brabec Miroslav;Mgr.;47;ČSSD;ČSSD;9914;2.45;2.0;True
2002;3;Občanská demokratická strana;21;Breitfelder Miroslav;Mgr.;36;ODS;ODS;16129;2.17;1.0;False
2002;7;Komunistická str.Čech a Moravy;27;Brejcha Jaroslav;;62;KSČM;KSČM;5533;2.12;19.0;False
2002;9;Koalice US-DEU, SNK;22;Brouček Jan;;54;US-DEU;US-DEU;2289;1.92;19.0;False
2002;3;Občanská demokratická strana;29;Brousek Václav;Ing.;50;ODS;ODS;15611;2.1;9.0;False
2002;7;Komunistická str.Čech a Moravy;22;Bruner Jiří;Ing.;54;KSČM;KSČM;5656;2.17;14.0;False
2002;8;Křesť.demokr.unie-Čs.str.lid.;6;Budil Ivo;Doc. RNDr. Ph.D.;37;KDU-ČSL;BEZPP;4662;3.2;2.0;False
2002;7;Komunistická str.Čech a Moravy;13;Bugoš Jaroslav;;51;KSČM;KSČM;5683;2.18;5.0;False
2002;4;Pravá volba pro Plzeň;35;Buňatová Marcela;MUDr.;29;PVP;BEZPP;3379;1.84;31.0;False
2002;4;Pravá volba pro Plzeň;47;Burda Miroslav;Ing.;38;PVP;BEZPP;2435;1.32;43.0;False
2002;2;Strana za životní jistoty;11;Bureš Jaroslav;;63;SŽJ;SŽJ;277;3.14;;False
2002;1;Česká str.sociálně demokrat.;29;Burešová Eva;;61;ČSSD;ČSSD;8106;2.0;19.0;False
2002;7;Komunistická str.Čech a Moravy;1;Bystřická Jana;;52;KSČM;KSČM;6626;2.54;1.0;True
2002;4;Pravá volba pro Plzeň;17;Caltová Marie;;58;PVP;BEZPP;4513;2.46;7.0;False
2002;9;Koalice US-DEU, SNK;2;Čechová Radmila;Ing.;51;US-DEU;US-DEU;3427;2.88;3.0;False
2002;6;Občanská demokratická aliance;25;Čechura Ladislav;MUDr.;31;ODA;BEZPP;885;3.4;;False
2002;4;Pravá volba pro Plzeň;42;Čechurová Šárka;Mgr.;44;PVP;BEZPP;3106;1.69;38.0;False
2002;9;Koalice US-DEU, SNK;41;Čejka Jaroslav;;69;US-DEU;US-DEU;1926;1.62;38.0;False
