rok;por_c_strany;strana;hlasy;hlasy_procenta;zastupitele;zastupitele_procenta
2002;1;Křesťanská a demokratická unie - Československá strana lidová;145680;7.43;3;6.38
2002;2;Strana zelených;71830;3.66;0;0.0
2002;3;Česká str.sociálně demokrat.;403889;20.59;10;21.28
2002;4;Občanská demokratická aliance;26005;1.33;0;0.0
2002;5;Strana za životní jistoty;8820;0.45;0;0.0
2002;6;Komunistická str.Čech a Moravy;260123;13.26;7;14.89
2002;7;Občanská demokratická strana;743089;37.89;20;42.55
2002;8;Pravá volba pro Plzeň;183245;9.34;4;8.51
2002;9;Koalice US-DEU, SNK;118713;6.05;3;6.38
2006;1;Plzeňská aliance;168750;7.58;3;7.57
2006;2;Komunistická str.Čech a Moravy;277883;12.48;6;12.48
2006;3;Občanská demokratická strana;1007049;45.23;22;45.23
2006;4;Koruna Česká (monarch.strana);2263;0.1;0;0.68
2006;5;Pravá volba pro Plzeň;177562;7.98;3;7.97
2006;6;Křesť.demokr.unie-Čs.str.lid.;141259;6.35;3;6.34
2006;7;Česká str.sociálně demokrat.;451520;20.28;10;20.28
2010;1;Občanská demokratická strana;565614;24.78;14;24.77
2010;2;Pravá volba pro Plzeň;115104;5.04;2;5.04
2010;3;Plzeňská aliance;102860;4.51;0;4.5
2010;4;Volte Pr.Blok www.cibulka.net;1472;0.06;0;0.75
2010;5;OBČANÉ.CZ;206734;9.06;5;9.67
2010;6;Dělnic.str.sociální spravedl.;4321;0.19;0;0.59
2010;7;Česká str.sociálně demokrat.;543564;23.81;14;23.81
2010;8;Česká pirátská strana;18733;0.82;0;0.82
2010;9;Suverenita-blok J.Bobošíkové;47184;2.07;0;2.06
2010;10;Křesť.demokr.unie-Čs.str.lid.;98644;4.32;0;4.32
2010;11;Strana Práv Občanů ZEMANOVCI;14336;0.63;0;0.68
2010;12;Věci veřejné;60762;2.66;0;2.66
2010;13;Balbínova poetická strana;907;0.04;0;0.46
2010;14;TOP 09;280985;12.31;7;12.3
2010;15;Komunistická str.Čech a Moravy;221476;9.7;5;9.7
2014;1;VEŘEJNÉ ZÁJMY PLZNĚ;53661;2.91;0;2.91
2014;2;Pravá volba pro Plzeň (PVP);50469;2.74;0;2.73
2014;3;Strana svobodných občanů;41131;2.23;0;2.23
2014;4;Změna pro Plzeň;45763;2.48;0;2.48
2014;5;Společně za Plzeň;88100;4.78;0;4.78
2014;6;TOP 09;166696;9.05;5;9.04
2014;7;Volební strana REPUBLIKA;2025;0.11;0;0.16
2014;8;Sdružení DSZ a NK;844;0.05;0;0.16
2014;9;Plzeň pro sport;32906;1.79;0;1.78
2014;10;Komunistická str.Čech a Moravy;152903;8.3;5;8.47
2014;11;ANO 2011;329815;17.9;10;17.89
2014;12;Strana Práv Občanů;2358;0.13;0;0.33
2014;13;Česká str.sociálně demokrat.;303042;16.45;10;16.44
2014;14;Občané patrioti;134761;7.31;4;7.31
2014;15;DSSS-Za Plz. bez hazar. a nepř;10215;0.55;0;0.86
2014;16;Občanská demokratická strana;323390;17.55;10;17.55
2014;17;Křesť.demokr.unie-Čs.str.lid.;104535;5.67;3;5.67
2018;1;Koruna Česká (monarch.strana);13486;0.61;0;0.61
2018;2;Česká pirátská strana;257260;11.69;7;11.69
2018;3;KDU-ČSL- PRAVÁ VOLBA PRO PLZEŇ;144203;6.56;4;6.55
2018;4;PRO PLZEŇ;105272;4.79;0;4.78
2018;5;TOP 09;150150;6.83;4;6.82
2018;6;Svob.a př.dem.-T.Okamura (SPD);108882;4.95;0;4.94
2018;7;Občanská demokratická strana;486401;22.11;13;22.11
2018;8;NOVÁ PLZEŇ s Jiřím Strobachem;60597;2.75;0;2.75
2018;9;ANO 2011;488324;22.2;13;22.19
2018;10;PATRIOTI STAROST. S PODP. SVOB;80381;3.65;0;3.99
2018;11;Komunistická str.Čech a Moravy;124055;5.64;3;5.63
2018;12;Česká Plzeň - Naše Šance;10589;0.48;0;0.48
2018;13;Česká str.sociálně demokrat.;141073;6.41;3;6.55
2018;14;Demokrat. strana zelených a NK;1328;0.06;0;0.16
2018;15;Strana soukromníků ČR;8549;0.39;0;0.38
2018;16;VEŘEJNÉ ZÁJMY PLZNĚ;19337;0.88;0;0.87
